k_coh,k_ali,k_col,coverage_seed_27,coverage_seed_729,coverage_seed_4913,average
0.479172678,0.009496716,0.323037375,43.49416667,43.15125,43.78520833,43.476875
0.249955669,0.013872188,0.297044053,39.72020833,38.31020833,39.78,39.27013889
0.214287594,0.019164863,0.133208956,35.60375,34.12770833,35.48,35.07048611
0.21264154,0.021786506,0.281630166,32.81520833,33.61666667,32.61583333,33.01590278
0.186295182,0.480734735,0.005262887,32.58625,31.018125,32.77958333,32.12798611
0.233493396,0.323431767,0.003330967,31.011875,31.91479167,32.366875,31.76451389
0.100413178,0.397595047,0.005315323,29.60166667,27.48958333,30.476875,29.189375
0.257131159,0.270183206,0.008854353,27.35354167,27.13833333,27.52354167,27.33847222
0.314179902,0.041178648,0.014384343,27.63333333,25.91354167,26.879375,26.80875
0.192877561,0.309209749,0.0090146,24.91020833,26.56729167,26.93083333,26.13611111
0.317591797,0.034872435,0.103022091,23.44208333,23.46791667,22.49916667,23.13638889
0.022550044,0.035044698,0.135645547,23.39395833,22.76791667,21.543125,22.56833333
0.210286268,0.438071833,0.01358175,21.43583333,22.02291667,18.33916667,20.59930556
0.34368693,0.038847121,0.251895861,18.58354167,21.07270833,21.75854167,20.47159722
0.275889593,0.384201269,0.013709266,16.97104167,19.38125,21.435,19.26243056
0.154687225,0.04113009,0.416545062,18.84333333,20.13833333,18.286875,19.08951389
0.236130619,0.043307976,0.018482195,17.57958333,20.65479167,17.45895833,18.56444444
0.345174027,0.044408185,0.325348601,18.241875,17.55770833,17.31416667,17.70458333
0.289175425,0.045684811,0.211761443,14.85291667,16.055,18.30125,16.40305556
0.264935785,0.37818777,0.014735381,17.505625,17.20166667,13.996875,16.23472222
0.383801881,0.043185774,0.025738725,15.83,15.56979167,17.26791667,16.22256944
0.118622754,0.088954386,0.01665778,14.39729167,16.80125,15.07229167,15.42361111
0.152724246,0.051618636,0.494908506,13.43708333,15.165,15.46041667,14.6875
0.041549258,0.052903441,0.051563572,13.48520833,15.41416667,14.904375,14.60125
0.232390641,0.049789755,0.163139543,13.81833333,14.37875,14.33854167,14.17854167
0.03993225,0.055784245,0.236393343,12.499375,13.58541667,13.685,13.25659722
0.221964036,0.06282887,0.355976684,13.08833333,12.89583333,12.566875,12.85034722
0.085792859,0.060037938,0.104299919,12.18833333,12.96395833,13.04770833,12.73333333
0.289159624,0.064344651,0.390600825,12.60958333,13.115625,11.94625,12.55715278
0.393729079,0.203093123,0.019499736,11.04479167,14.46979167,11.57229167,12.36229167
0.454852008,0.066404373,0.225351617,11.97583333,12.05458333,12.29625,12.10888889
0.019963187,0.063473206,0.061583994,11.83416667,12.14479167,12.16916667,12.049375
0.026903862,0.068258787,0.147919547,11.540625,12.065,11.92958333,11.84506944
0.423189382,0.075677348,0.139501616,11.46270833,12.05958333,11.74375,11.75534722
0.051257748,0.082162627,0.249553189,11.22125,11.951875,11.70791667,11.62701389
0.42300792,0.096526918,0.454335061,11.20166667,11.83229167,11.59520833,11.54305556
0.204851465,0.087335223,0.175078964,11.13229167,12.046875,11.28541667,11.48819444
0.269545918,0.093939169,0.399649872,11.11895833,11.76166667,11.48,11.45354167
0.107256252,0.097642813,0.353554728,10.87354167,11.73791667,11.67458333,11.42868056
0.023069494,0.104978452,0.123291327,11.00875,11.58333333,11.58,11.39069444
0.246445018,0.141377994,0.192523331,11.256875,11.17229167,11.59479167,11.34131944
0.105795633,0.112655302,0.23803481,11.13854167,11.44604167,11.1975,11.26069444
0.09491739,0.101810031,0.439604757,10.96666667,11.52875,11.278125,11.25784722
0.450930696,0.111244084,0.051592747,10.90708333,11.26708333,11.49020833,11.22145833
0.111175795,0.109951369,0.243540771,10.83666667,11.28520833,11.53458333,11.21881944
0.464905552,0.114946842,0.30451259,10.8175,11.26020833,11.55854167,11.21208333
0.039949527,0.123553737,0.166010724,10.83458333,11.33958333,11.42395833,11.199375
0.121270096,0.169734644,0.204245975,10.6525,11.20375,11.65541667,11.17055556
0.304887114,0.155369709,0.320673953,10.94916667,10.99979167,11.38416667,11.11104167
0.225465573,0.132629984,0.403178456,10.71333333,11.11854167,11.47041667,11.10076389
0.223530632,0.120826112,0.161297557,10.89520833,11.28666667,11.01854167,11.06680556
0.191786096,0.149017524,0.127693296,10.779375,10.96354167,11.4475,11.06347222
0.326921345,0.133216191,0.393060687,10.613125,11.049375,11.45729167,11.03993056
0.081926971,0.157804875,0.351508867,10.67395833,11.10354167,11.32229167,11.03326389
0.291438712,0.148657651,0.288939609,10.69083333,11.12666667,11.2575,11.025
0.399145654,0.165955516,0.222818227,10.51,11.06833333,11.41041667,10.99625
0.080668607,0.170049521,0.236852696,10.54729167,11.1075,11.32916667,10.99465278
0.011553027,0.111875317,0.331553261,10.87729167,11.05041667,11.029375,10.98569444
0.204658928,0.156136076,0.292064816,10.49291667,11.12041667,11.265625,10.95965278
0.339945791,0.168850856,0.428506504,10.62958333,10.98270833,11.19791667,10.93673611
0.193551348,0.18208437,0.110519286,10.56104167,10.97291667,11.16729167,10.90041667
0.385318221,0.182121188,0.455045358,10.66083333,10.93395833,11.00270833,10.86583333
0.412703832,0.19484448,0.146132161,10.39020833,10.73916667,11.01270833,10.71402778
0.035261711,0.207969376,0.262101878,10.50145833,10.78541667,10.80125,10.69604167
0.387709661,0.402013873,0.440061324,10.42791667,10.87,10.78833333,10.69541667
0.053188489,0.217364145,0.053611019,10.11708333,10.74,11.151875,10.66965278
0.166548058,0.196312271,0.437753609,10.3025,10.57375,11.12104167,10.66576389
0.498603625,0.212412835,0.288810418,10.19166667,10.87104167,10.90729167,10.65666667
0.475130298,0.212994226,0.250755504,10.29916667,10.62041667,11.00208333,10.64055556
0.248062635,0.378088267,0.492690075,10.52083333,10.63708333,10.64958333,10.6025
0.420802503,0.208708184,0.204709299,10.40333333,10.71333333,10.63729167,10.58465278
0.444433798,0.207263803,0.103050874,10.30395833,10.53854167,10.821875,10.55479167
0.459727355,0.238143375,0.335932909,10.30708333,10.42979167,10.784375,10.50708333
0.455625587,0.241842516,0.17084144,10.12854167,10.22166667,11.14,10.49673611
0.277403894,0.252344832,0.134593157,10.17083333,10.400625,10.7825,10.45131944
0.36818883,0.230432481,0.381938252,9.986666667,10.32104167,11.00020833,10.43597222
0.32412199,0.259343071,0.461514351,10.055625,10.53229167,10.656875,10.41493056
0.067392824,0.256976488,0.166662186,10.02645833,10.50145833,10.55541667,10.36111111
0.445845351,0.224538531,0.13101398,10.01041667,10.61166667,10.39166667,10.33791667
0.015376301,0.247636153,0.117226236,9.891666667,10.20083333,10.87333333,10.32194444
0.376280244,0.2467102,0.148601942,9.698958333,10.38604167,10.88083333,10.32194444
0.194124293,0.247946159,0.328404902,9.948958333,10.43520833,10.568125,10.31743056
0.353646863,0.248450092,0.317938954,9.960416667,10.30416667,10.56666667,10.27708333
0.229478838,0.26453105,0.207025564,10.03666667,10.299375,10.43291667,10.25631944
0.311244678,0.296199948,0.243762665,9.889375,10.31416667,10.54645833,10.25
0.060420004,0.31894304,0.036319843,9.965,10.189375,10.51875,10.224375
0.038999479,0.288973358,0.224908746,9.870208333,10.25041667,10.39708333,10.17256944
0.438575392,0.427915644,0.048051634,9.578125,10.27875,10.64875,10.16854167
0.336642744,0.223486032,0.115364627,9.4225,10.70625,10.34020833,10.15631944
0.207754759,0.278618667,0.223997022,9.803125,10.47229167,10.18833333,10.15458333
0.156491676,0.354635586,0.097336276,10.01020833,9.846875,10.55270833,10.13659722
0.041825908,0.347286641,0.128852062,9.964791667,10.23645833,10.19416667,10.13180556
0.037382518,0.318912231,0.397201081,9.385416667,10.48145833,10.473125,10.11333333
0.205457532,0.338136638,0.24875567,9.952708333,10.02833333,10.33375,10.10493056
0.266067496,0.470692012,0.402840651,9.726458333,10.15479167,10.42020833,10.10048611
0.447521752,0.476362905,0.435727276,9.783333333,10.41708333,10.08583333,10.09541667
0.376130563,0.462716319,0.24270439,9.931666667,10.285,9.998125,10.07159722
0.294016149,0.467541151,0.182646268,10.00854167,10.04125,10.15541667,10.06840278
0.129093121,0.460460621,0.102651076,9.545625,10.431875,10.19458333,10.05736111
0.435979254,0.332850011,0.263158837,9.626875,9.964791667,10.5775,10.05638889
0.328732063,0.271270433,0.093368433,9.764791667,10.06270833,10.3175,10.04833333
0.286282321,0.407814477,0.238174658,9.674791667,10.38,10.08729167,10.04736111
0.128704336,0.346356395,0.034695863,9.85375,9.846458333,10.4125,10.03756944
0.043485473,0.372674331,0.029995829,9.911666667,10.32145833,9.874166667,10.03576389
0.277095559,0.460657179,0.028836885,9.896666667,10.16604167,10.03625,10.03298611
0.436110254,0.261997443,0.121245835,9.779166667,10.23708333,10.05729167,10.02451389
0.092117107,0.294656092,0.291093809,9.676041667,9.881041667,10.505,10.02069444
0.244416949,0.400936087,0.186538021,9.656875,10.20895833,10.17729167,10.014375
0.434061377,0.495965101,0.158231247,9.858125,10.21229167,9.969583333,10.01333333
0.126383917,0.421743142,0.117036822,9.734583333,10.01645833,10.26708333,10.00604167
0.289067779,0.452484134,0.400216663,9.755208333,10.05583333,10.17229167,9.994444444
0.062858165,0.28391669,0.249671249,9.476875,10.27875,10.21645833,9.990694444
0.410401505,0.486596773,0.123138766,9.534791667,10.168125,10.25104167,9.984652778
0.493989171,0.375443149,0.205342586,9.915625,9.842291667,10.186875,9.981597222
0.322424717,0.278098142,0.226883524,9.666875,10.20666667,10.065625,9.979722222
0.329601201,0.398041836,0.05364484,9.42875,10.11145833,10.39333333,9.977847222
0.446276076,0.374163839,0.474700477,9.207083333,10.129375,10.57604167,9.970833333
0.416089323,0.418330232,0.142780723,9.39125,10.43875,10.075625,9.968541667
0.495474856,0.281609178,0.174324614,9.698333333,10.23395833,9.953333333,9.961875
0.221279027,0.406089967,0.413564026,9.573333333,9.9225,10.350625,9.948819444
0.183290172,0.330641489,0.310766142,9.714375,10.00916667,10.11479167,9.946111111
0.240364473,0.486651207,0.441206352,9.675625,10.29791667,9.860833333,9.944791667
0.274164803,0.417468422,0.07170591,9.903541667,9.796666667,10.11291667,9.937708333
0.165849829,0.338031774,0.365280324,9.513125,9.961875,10.32083333,9.931944444
0.340494978,0.335556117,0.094276463,9.372083333,9.893958333,10.50958333,9.925208333
0.365888829,0.44392008,0.403551399,9.481666667,10.06958333,10.16333333,9.904861111
0.019609719,0.457912886,0.1408632,9.59375,9.9325,10.176875,9.901041667
0.019151889,0.42881887,0.265448322,9.470833333,9.995416667,10.17645833,9.880902778
0.092701581,0.409418019,0.266614604,9.605208333,10.031875,9.9775,9.871527778
0.326442988,0.483083338,0.231927169,9.649791667,9.907708333,10.03666667,9.864722222
0.354187603,0.484603882,0.06880861,9.818958333,9.922291667,9.82375,9.855
0.248582399,0.407995298,0.227203457,9.476875,10.10020833,9.972083333,9.849722222
0.390231877,0.404246113,0.33030196,9.244375,10.12958333,10.11229167,9.82875
0.452006907,0.482523897,0.07582311,9.427083333,9.777916667,10.176875,9.793958333
0.146125539,0.411559504,0.307811083,9.414583333,10.07604167,9.882916667,9.791180556
0.022307163,0.392734794,0.03056365,9.583333333,9.411041667,10.31520833,9.769861111
0.448356141,0.338227233,0.355590767,9.836041667,9.745833333,9.712291667,9.764722222
0.154941663,0.49047602,0.128381498,8.951041667,10.24625,9.969791667,9.722361111
0.342249857,0.405276251,0.170623415,9.22125,9.806875,10.138125,9.722083333
0.364110274,0.348408258,0.09406899,9.583541667,9.41875,10.161875,9.721388889
0.140420707,0.340011917,0.20153902,9.734583333,9.604375,9.806458333,9.715138889
0.323300021,0.382850217,0.354869086,9.537083333,9.534791667,10.019375,9.697083333
0.45868983,0.498078484,0.121384771,9.322083333,9.80125,9.949791667,9.691041667
0.449425973,0.11951492,0.023453259,9.414166667,9.267708333,10.340625,9.674166667
0.446007707,0.367399452,0.181015474,9.130208333,9.592083333,10.06916667,9.597152778
0.019532112,0.34017961,0.320289065,9.36625,9.678125,9.720833333,9.588402778
0.005747007,0.132443783,0.380695849,9.173125,9.219583333,10.30270833,9.565138889
0.009529695,0.473380719,0.490324529,9.033125,9.335416667,9.224791667,9.197777778
0.136741922,0.262405543,0.020673614,9.364583333,7.343125,7.499375,8.069027778
0.098956065,0.416235803,0.018345494,6.814791667,7.297916667,7.115416667,7.076041667
